name,team_name,score_normalizado,valor_mercado_mais_recente(R$),goals,expectedGoals,onTargetScoringAttempt,bigChanceCreated,expectedAssists,goalAssist,keyPass,accuratePass,rating,penaltyWon,wasFouled,duelWon,aerialWon,accurateCross,accurateLongBalls,blockedScoringAttempt,height,age,possessionLostCtrl,dispossessed,bigChanceMissed,duelLost,fouls,challengeLost,totalOffside,saves,savedShotsFromInsideTheBox,goodHighClaim,goalsPrevented,penaltyConceded,campeonato,position,country,totalPass,totalLongBalls,minutesPlayed,touches,aerialLost,totalClearance,totalTackle,totalCross,outfielderBlock,totalContest,wonContest,shotOffTarget,interceptionWon,score_total
Carlos Bacca,Junior Barranquilla,64.8422765174502,"R$ 1.917.000,00",1.3333333333333333,0.6003,1.25,1.0,0.11096105714285713,0.25,1.3333333333333333,9.125,7.1375,0.0,1.3333333333333333,2.8,1.6666666666666667,0.0,1.0,1.5,181.0,38.0,4.25,1.0,1.0,2.625,1.25,0.0,1.3333333333333333,,,,,,,,,,,,,,,,,,,,,,
Ángel Romero,Corinthians,64.82011684704409,"R$ 9.585.000,00",1.5,0.0,2.0,1.3333333333333333,0.0,0.5,2.0,10.875,7.075,0.0,1.6,2.2857142857142856,1.5,1.0,2.0,1.3333333333333333,177.0,32.0,6.0,1.6,1.6666666666666667,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Hulk,Atlético Mineiro,62.75212929377842,"R$ 11.502.000,00",1.0,0.38273749999999995,1.6666666666666667,1.2,0.40564415,0.5,2.2857142857142856,25.0,7.2,0.0,2.8,4.375,1.25,1.25,1.0,1.25,180.0,38.0,16.0,2.4285714285714284,1.6666666666666667,6.875,2.25,1.2,2.6666666666666665,,,,,,,,,,,,,,,,,,,,,,
Adam Bareiro,San Lorenzo,62.700269956487396,"R$ 38.340.000,00",1.0,0.4538666666666667,3.0,1.0,0.02652491,0.0,1.3333333333333333,14.2,6.779999999999999,0.0,3.3333333333333335,8.0,4.6,0.0,1.5,1.0,184.0,28.0,11.4,1.25,1.5,10.8,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
Thiago Borbas,Red Bull Bragantino,62.45608171577202,"R$ 44.730.000,00",1.5,0.0,1.5,1.0,0.0,0.0,1.0,6.111111111111111,7.033333333333334,0.0,1.5,3.7777777777777777,2.4444444444444446,0.0,1.0,1.0,181.0,22.0,7.444444444444445,1.3333333333333333,0.0,5.333333333333333,1.75,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,
Guillermo Paiva,Colo Colo,62.443146251328834,"R$ 6.390.000,00",1.0,0.17815,1.3333333333333333,1.0,0.07494911666666666,0.0,2.0,8.666666666666666,6.890000000000001,1.0,1.0,3.7,3.0,0.0,2.0,1.6666666666666667,182.0,27.0,8.1,1.8333333333333333,0.0,4.777777777777778,1.8333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Javier Correa,Estudiantes de La Plata,60.41657451264709,"R$ 9.585.000,00",1.5,0.45403333333333334,1.25,0.0,0.09464716666666667,0.0,1.3333333333333333,12.5,7.283333333333334,0.0,1.25,4.833333333333333,1.3333333333333333,0.0,1.0,1.1666666666666667,184.0,31.0,11.833333333333334,1.25,0.0,6.333333333333333,1.8,1.25,0.0,,,,,,,,,,,,,,,,,,,,,,
Alex Arce,LDU,60.323661638390575,"R$ 25.560.000,00",1.0,0.41955000000000003,1.25,0.0,0.098175598,0.25,1.4,9.0,7.425,0.0,2.5,6.625,4.5,0.0,1.0,1.6666666666666667,187.0,29.0,10.25,1.5714285714285714,1.0,7.875,1.5714285714285714,1.0,2.6666666666666665,,,,,,,,,,,,,,,,,,,,,,
Cris Martínez,Huachipato,56.78559732320309,"R$ 2.875.500,00",1.3333333333333333,0.13616,1.8,1.0,0.11467771666666667,0.2857142857142857,1.6666666666666667,13.0,7.055555555555555,0.0,1.5,7.111111111111111,4.555555555555555,1.0,1.3333333333333333,1.0,172.0,31.0,12.666666666666666,1.8571428571428572,1.0,8.333333333333334,1.2857142857142858,1.75,1.0,,,,,,,,,,,,,,,,,,,,,,
Walter Bou,Lanús,51.38781618265478,"R$ 10.863.000,00",1.4,0.0,2.0,1.0,0.0,0.0,1.7142857142857142,18.333333333333332,7.466666666666667,0.0,1.5,4.571428571428571,1.4285714285714286,1.0,1.25,1.75,174.0,31.0,14.0,2.4444444444444446,1.5,6.0,1.4,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
