campeonato,team_name,name,position,country,valor_mercado_mais_recente(R$),height,age,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goals,minutesPlayed,rating,touches,possessionLostCtrl,expectedGoals,expectedAssists,aerialLost,aerialWon,duelLost,duelWon,onTargetScoringAttempt,totalClearance,totalTackle,wasFouled,fouls,totalCross,accurateCross,outfielderBlock,goodHighClaim,savedShotsFromInsideTheBox,saves,challengeLost,totalContest,wonContest,bigChanceMissed,shotOffTarget,interceptionWon,keyPass,dispossessed,blockedScoringAttempt,bigChanceCreated,penaltyWon,totalOffside,goalsPrevented,penaltyConceded,score_total,score_normalizado
"Copa Libertadores, Group H",River Plate,Enzo Díaz,D,Argentina,"R$ 19.170.000,00",175.0,28.0,39.285714285714285,30.285714285714285,2.857142857142857,1.6,0.0,0.0,630.0,7.171428571428572,68.57142857142857,17.0,0.08075,0.11297754285714287,1.3333333333333333,1.2,5.285714285714286,7.0,1.0,3.0,3.4285714285714284,2.0,2.2,4.0,1.3333333333333333,2.0,0.0,0.0,0.0,2.0,2.2857142857142856,1.4,0.0,2.0,1.25,1.0,1.5,1.0,0.0,0.0,0.0,0.0,1.0,-0.04521638751807246,49.22869183498094
"Copa Libertadores, Group A",Colo Colo,Erick Wiemberg,D,Chile,"R$ 5.112.000,00",178.0,30.0,50.55555555555556,41.666666666666664,6.444444444444445,2.7777777777777777,0.2,0.0,802.0,6.777777777777778,75.88888888888889,15.333333333333334,0.105125,0.019872400000000002,1.6,1.125,4.888888888888889,4.0,1.0,3.25,2.2222222222222223,1.0,1.8571428571428572,2.0,1.0,1.3333333333333333,0.0,0.0,0.0,1.625,1.8,1.25,1.0,2.0,1.5,1.25,1.4,1.0,0.0,0.0,0.0,0.0,0.0,-0.25784325230066696,35.80588559789268
"Copa Sudamericana, Group C",Internacional,Fabricio Bustos,D,Argentina,"R$ 44.730.000,00",167.0,28.0,51.75,44.25,4.25,2.5,0.0,0.0,602.0,7.0625,77.75,15.0,0.0,0.0,1.2,1.2,3.75,4.625,1.5,1.8,2.857142857142857,1.1666666666666667,1.4,4.375,1.6,0.0,0.0,0.0,0.0,1.3333333333333333,1.8571428571428572,1.0,0.0,1.0,1.0,2.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,-0.3392390181100069,30.667496363327725
"Copa Libertadores, Group E",Flamengo,Fabrício Bruno,D,Brazil,"R$ 38.340.000,00",192.0,28.0,49.25,43.125,6.875,3.875,0.0,0.0,713.0,6.9875,57.375,7.125,0.0188,0.052068118,1.6666666666666667,2.2,2.0,3.3333333333333335,0.0,3.125,1.75,1.0,1.0,2.0,1.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3096295413385324,71.6295683748852
"Copa Libertadores, Group G",Rosario Central,Facundo Mallo,D,Uruguay,"R$ 11.502.000,00",185.0,29.0,34.77777777777778,25.444444444444443,9.666666666666666,3.5555555555555554,0.3333333333333333,1.0,761.0,7.088888888888889,47.77777777777778,10.222222222222221,0.14129999999999998,0.0055260150000000004,1.8333333333333333,2.2857142857142856,2.3333333333333335,3.888888888888889,1.0,3.7777777777777777,2.0,1.0,1.3333333333333333,1.0,1.0,1.6,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.1666666666666667,1.75,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.21200126204183967,65.4664455841704
"Copa Sudamericana, Group H",Racing Club,Facundo Mura,D,Argentina,"R$ 12.780.000,00",171.0,25.0,29.88888888888889,22.666666666666668,5.25,1.8571428571428572,0.4,0.0,687.0,6.788888888888888,46.666666666666664,12.222222222222221,0.0,0.0,1.25,1.0,2.5714285714285716,3.2857142857142856,0.0,2.3333333333333335,1.8571428571428572,1.0,1.5,2.125,1.25,1.0,0.0,0.0,0.0,1.6666666666666667,1.5,1.4,1.0,1.0,1.0,1.1428571428571428,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.34002370574231633,30.61796024259388
"Copa Libertadores, Group D",LDU,Facundo Rodríguez,D,Argentina,"R$ 5.112.000,00",188.0,24.0,34.0,28.0,8.4,5.0,0.0,0.0,450.0,6.540000000000001,42.0,7.0,0.0413,0.038201903333333335,2.4,1.0,3.8,2.5,0.0,2.8,1.0,1.0,1.3333333333333333,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.295807155855211,33.40928288291033
"Copa Sudamericana, Group F",Corinthians,Fagner,D,Brazil,"R$ 2.556.000,00",168.0,35.0,30.125,22.625,4.25,2.0,0.25,0.0,560.0,6.875,52.875,14.5,0.0,0.0,1.0,1.0,3.75,2.7142857142857144,1.0,1.4,2.25,1.3333333333333333,1.2857142857142858,4.25,3.0,2.0,0.0,0.0,0.0,1.6,1.6666666666666667,0.0,0.0,1.0,1.0,2.5,1.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,-0.6314129364904938,12.223007244033933
"Copa Sudamericana, Group A",Independiente Medellín,Fainer Torijano,D,Colombia,"R$ 1.278.000,00",182.0,36.0,39.22222222222222,33.888888888888886,6.222222222222222,3.0,0.0,0.0,796.0,6.933333333333334,50.888888888888886,6.111111111111111,0.0,0.0,1.5,3.857142857142857,2.75,4.222222222222222,0.0,5.111111111111111,1.4,1.0,1.4,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.5,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.20714457094224514,65.15985016101018
"Copa Sudamericana, Group F",Argentinos Juniors,Fernando Meza,D,Argentina,"R$ 1.278.000,00",176.0,34.0,42.8,34.0,5.0,2.0,0.0,0.0,428.0,6.540000000000001,57.8,12.8,0.0,0.0,2.0,4.75,2.8,5.0,0.0,3.0,1.2,0.0,1.25,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.3333333333333335,1.25,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.35957785073344584,29.383537209473243
"Copa Libertadores, Group B",Cobresal,Francisco Alarcón,D,Chile,"R$ 1.278.000,00",189.0,34.0,28.4,23.0,4.6,2.5,0.0,0.0,450.0,6.859999999999999,43.0,7.0,0.2357,0.0101001,1.75,3.0,2.6,4.2,0.0,5.8,2.0,1.0,1.5,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443376607644576,54.25688326105824
"Copa Sudamericana, Group E",Sportivo Ameliano,Francisco Báez,D,Paraguay,"R$ 1.278.000,00",184.0,33.0,33.666666666666664,27.666666666666668,5.4,4.0,0.0,0.0,465.0,6.766666666666667,42.333333333333336,6.5,0.0,0.0,2.5,3.0,3.6,4.2,0.0,3.8333333333333335,2.0,1.0,1.5,1.0,0.0,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2543703633830954,36.02512372225274
"Copa Libertadores, Group B",Cobresal,Franco Bechtholdt,D,Argentina,"R$ 3.195.000,00",179.0,31.0,27.166666666666668,22.166666666666668,3.1666666666666665,1.8,0.0,0.0,486.0,6.783333333333334,36.833333333333336,5.0,0.0788,0.0,1.3333333333333333,2.25,2.3333333333333335,6.0,0.0,3.0,3.8,1.0,2.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.03586080780359494,54.346970205694085
"Copa Sudamericana, Group F",Corinthians,Félix Torres,D,Ecuador,"R$ 28.755.000,00",187.0,27.0,48.22222222222222,41.333333333333336,6.111111111111111,4.125,0.0,0.0,720.0,7.066666666666666,59.22222222222222,8.777777777777779,0.0,0.0,1.5,3.0,2.5555555555555554,4.0,0.0,4.0,1.5714285714285714,1.2,1.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.6666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20386174613491959,64.95261049097087
"Copa Libertadores, Group H",Club Nacional,Gabriel Báez,D,Argentina,"R$ 8.307.000,00",178.0,29.0,35.625,29.125,6.125,2.625,0.5,0.0,720.0,7.0874999999999995,57.5,12.375,0.04202,0.1349721875,1.75,1.0,3.0,2.375,0.0,2.25,2.0,1.25,1.8,3.875,1.5,1.0,0.0,0.0,0.0,1.0,1.3333333333333333,1.0,0.0,1.2,1.4,1.6666666666666667,1.0,0.0,1.5,0.0,1.0,0.0,0.0,-0.3724727213906041,28.56950390065159
"Copa Libertadores, Group D",Junior Barranquilla,Gabriel Fuentes,D,Colombia,"R$ 11.502.000,00",180.0,27.0,41.5,32.75,4.571428571428571,2.2,0.25,1.0,720.0,7.1125,61.25,12.75,0.26185,0.11704706000000001,1.8571428571428572,2.2,4.714285714285714,5.5,1.0,2.375,2.75,1.4,1.4,2.8333333333333335,1.5,1.0,0.0,0.0,0.0,2.25,2.3333333333333335,1.3333333333333333,1.0,1.0,1.2857142857142858,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.1153547912237161,44.800962518263894
